id,title,url,date,medium,source_host,attribution_type,confidence,tier,status,raw_path,processed_path,notes
be4b35b129,APPLY NOW,https://alpha.school/admission-forms,,url,alpha.school,event-description,0.70,B,discovered,,,nts/alpha) - Specialty Schools   - [GT School](https://gt.school)   - [Montessorium](https://montessorium.school)   - [NextGen Academy](https://nextgenacademy.school)   - [Nova Academy](https://novaacademy.school/)   - [Texas Sports Academy](https://sportsacademy.school)   - [Waypoint Academy](https
326f881b58,Admissions Application | AI-Powered 2-Hour Learning,https://alpha.school/admission-forms/,,url,alpha.school,event-description,0.70,B,discovered,,,nts/alpha) - Specialty Schools   - [GT School](https://gt.school)   - [Montessorium](https://montessorium.school)   - [NextGen Academy](https://nextgenacademy.school)   - [Nova Academy](https://novaacademy.school/)   - [Texas Sports Academy](https://sportsacademy.school)   - [Waypoint Academy](https
79b795a181,Next »,https://alpha.school/miami/2/,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,ds-choose-their-own-rules-rewards-and-punishments/)    [ Read More ](https://alpha.school/blog/what-happens-when-you-let-kids-choose-their-own-rules-rewards-and-punishments/)     ###  [ ‘We Have Been Underestimating Children’ ](https://alpha.school/blog/we-have-been-underestimating-children/)    [ R
00c68a4bfd,A.I.-Driven Education: Founded in Texas and Coming to a School Near You - Alpha School,https://alpha.school/news/a-i-driven-education-founded-in-texas-and-coming-to-a-school-near-you/,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,ivate schools in the United States are swapping traditional teacher-led classroom lessons for laptops and personalised apps. We speak to pupils and the co-founder of the school network embracing AI-assisted learning.   - Image: ![Post image](https://alpha.school/wp-content/uploads/2026/03/p0mjs8n5.j
ae288f667f,Alpha Schools reimagine education through AI - Alpha School,https://alpha.school/news/alpha-schools-reimagine-education-through-ai/,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,"d-coming-to-a-school-near-you/)   - Excerpt: At Austin’s Alpha School, students spend just two hours a day on academics, led by artificial intelligence tools. New Alpha schools are set to open in about a dozen cities…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/07/00nat-ai-"
b240ff4713,NBC TODAY SHOW: A Glimpse into the Future of Education - Alpha School,https://alpha.school/news/nbcs-today-show-pilot-program-teaches-kids-with-ai-instead-of-teachers/,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,"tion.goldcast.io/events/56fec97a-63a9-41e3-8c11-1ee2bbce15ca)      Wednesday, May 13, 2026 at 12:30 PM - 2:00 PM CT      Virtual    [Register Now](https://alphaschool.registration.goldcast.io/events/56fec97a-63a9-41e3-8c11-1ee2bbce15ca)     Showing **2** of **2** events  Generated timestamp: 2026-05"
cb9c150f84,Texas school finds valuable classroom inside a food truck - Alpha School,https://alpha.school/news/texas-school-finds-valuable-classroom-inside-a-food-truck/,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,"/alpha.school/news/alpha-schools-reimagine-education-through-ai/)   - Excerpt:  MacKenzie Price, co-founder of Alpha Schools, discusses the positive impacts of artificial intelligence on education. Read More   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/07/Screenshot-2025-08-"
559c8828d6,Alpha School Austin | Private School Resources & Tuition,https://alpha.school/resources-austin/,,url,alpha.school,event-description,0.70,B,discovered,,,"skills and passions. - [Alpha School - The Future of School Live Stream - Alpha School](https://alpha.school/the-future-of-school-live-stream/): The Future of School, Now Join Co-Founder MacKenzie Price for a live national broadcast exploring the future of education. Limitless Potential What if your"
e67fa33dad,Alpha School - The Future of School Live Stream - Alpha School,https://alpha.school/the-future-of-school-live-stream/,,url,alpha.school,event-description,0.70,B,discovered,,,uses AI for personalized learning. Apply now and join us as we revolutionize education and ensure student success. - [AI Powered Private School | Alpha School](https://alpha.school/): Discover Alpha School's AI-powered 2 Hour Learning model. Empower your child to excel at academics while developing 
82258eb942,Post image,https://alpha.school/wp-content/uploads/2025/07/00nat-ai-education-top-jtlg-superJumbo.webp,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,"- [A.I.-Driven Education: Founded in Texas and Coming to a School Near You - Alpha School](https://alpha.school/news/a-i-driven-education-founded-in-texas-and-coming-to-a-school-near-you/)   - Excerpt: At Austin’s Alpha School, students spend just two hours a day on academics, led by artificial inte"
