id,query,title,url,source_host,attribution_type,confidence,tier,status
977ec34df4,MacKenzie Price Alpha School interview podcast article founder,Alpha School: A New Approach To Education - MacKenzie Price (Transcript ...,https://singjupost.com/alpha-school-a-new-approach-to-education-mackenzie-price-transcript/,singjupost.com,spoken-transcript-candidate,0.75,A-candidate,discovered
8c7092bf0e,MacKenzie Price Alpha School interview podcast article founder,Alpha School: A New Approach To Education - MacKenzie Price,https://www.youtube.com/watch?v=enXA7xepu2U,www.youtube.com,spoken-transcript-candidate,0.75,A-candidate,discovered
5d6cacc000,MacKenzie Price Alpha School interview podcast article founder,A.I. School Is in Session: Two Takes on the Future of Education,https://www.nytimes.com/2025/09/05/podcasts/hardfork-education-alpha-school.html,www.nytimes.com,search-result-context,0.30,C,discovered
da24baa619,MacKenzie Price Alpha School interview podcast article founder,#981 - MacKenzie Price - Alpha School: A New Approach To Education,https://podwise.ai/dashboard/episodes/4957690,podwise.ai,macKenzie-adjacent,0.60,B,discovered
275d1521f4,MacKenzie Price Alpha School interview podcast article founder,#981 - MacKenzie Price - Alpha School: A New Approach To Education,https://metacast.app/podcast/modern-wisdom/89DLZTaM/981---mackenzie-price---alpha-school-a-new-approach-to-education/6c19BH12,metacast.app,spoken-transcript-candidate,0.75,A-candidate,discovered
a451daa757,MacKenzie Price Alpha School interview podcast article founder,Transcript of Interview with MacKenzie Price on AI Learning,https://www.johnathanbi.com/p/transcript-of-interview-with-mackenzie-price,www.johnathanbi.com,spoken-transcript-candidate,0.75,A-candidate,discovered
d0c30b0440,MacKenzie Price Alpha School interview podcast article founder,"""In 6 Months, We'll Start Losing Jobs to AI"" — Alpha School Founder ...",https://open.spotify.com/episode/26BLFGckgjQAZne7iEFNWc,open.spotify.com,search-result-context,0.30,C,discovered
0b159c5a11,MacKenzie Price Alpha School interview podcast article founder,#981 - MacKenzie Price - Alpha… - Modern Wisdom - Apple Podcasts,https://podcasts.apple.com/us/podcast/981-mackenzie-price-alpha-school-a-new-approach-to/id1347973549?i=1000722170688,podcasts.apple.com,spoken-transcript-candidate,0.75,A-candidate,discovered
029de0e1f2,MacKenzie Price Alpha School interview podcast article founder,#981 - MacKenzie Price - Alpha School: A New Approach To Education,https://www.shortform.com/podcast/episode/modern-wisdom-2025-08-16-episode-summary-981-mackenzie-price-alpha-school-a-new-approach-to-education,www.shortform.com,spoken-transcript-candidate,0.75,A-candidate,discovered
f45c68d829,MacKenzie Price Alpha School interview podcast article founder,#981 - MacKenzie Price - Alpha School: A New Approach To Education,https://share.snipd.com/episode/0ff5b443-ae9c-4b50-bc46-a8f2aed6e364,share.snipd.com,macKenzie-adjacent,0.60,B,discovered
c55564fd5e,MacKenzie Price Alpha School transcript,Modern Wisdom - #981 - Mackenzie Price - Alpha School: A New Approach ...,https://podscripts.co/podcasts/modern-wisdom/981-mackenzie-price-alpha-school-a-new-approach-to-education,podscripts.co,spoken-transcript-candidate,0.75,A-candidate,discovered
c6051e9a9b,MacKenzie Price Alpha School transcript,"Who is MacKenzie Price? Inside the $65,000-a-year school some are ...",https://www.tomsguide.com/ai/have-you-heard-of-mackenzie-price-why-the-co-founder-of-the-usd65k-a-year-alpha-school-is-being-called-the-elon-musk-of-ai-education,www.tomsguide.com,macKenzie-adjacent,0.60,B,discovered
90aed46c19,MacKenzie Price Alpha School transcript,PDF Transcript: The AI Behind Alpha School,https://classdisrupted.wordpress.com/wp-content/uploads/2026/02/transcript_-the-ai-behind-alpha-school.pdf,classdisrupted.wordpress.com,search-result-context,0.30,C,discovered
0b4563df1d,MacKenzie Price Alpha School transcript,MacKenzie Price: Meet the Founder of 2 Hour Learning & Alpha Schools,https://2hourlearning.com/founder/,2hourlearning.com,macKenzie-adjacent,0.60,B,discovered
91afa1c4f2,MacKenzie Price Alpha School transcript,Alpha School: A New Approach To Education - MacKenzie Price,https://glasp.co/youtube/enXA7xepu2U,glasp.co,spoken-transcript-candidate,0.75,A-candidate,discovered
a57e9c17a7,MacKenzie Price Alpha School transcript,MacKenzie Price - Alpha School: A New Approach To Educati...,https://wisdomsparks.com/modern-wisdom/mackenzie-price-981/,wisdomsparks.com,macKenzie-adjacent,0.60,B,discovered
