start	end	text
0	3280	Today, you just get me for a solo episode.
3280	5680	I have taken a lot of the questions that have come in
5680	8040	from listeners and from people on Instagram
8040	10440	and I'm gonna spend some time just answering questions.
10440	12680	By the way, I just love the fact that you
12680	15440	take such an interest in what you can do
15440	17560	to help your kid on their education journey.
17560	18880	I know that there's people who listen
18880	22760	from all over the world who are never gonna set foot
22760	26040	in an alpha school because we're not in that many places.
26040	27440	But what I wanna do is hopefully give you
27440	29520	a little bit of advice and maybe some ways
29520	31200	that you can put some of the spirit
31200	32840	of what we do at alpha school
32840	34840	into your own homes and classrooms.
34840	35800	So let's go.
35800	36640	Are you guys ready?
38640	41280	Welcome to the Future of Education podcast
41280	43120	hosted by Mackenzie Price.
43120	46480	Mackenzie is the founder of a revolutionary new school model
46480	49000	that's disrupting education through AI.
49000	52360	Join us as we discuss the latest in education innovation.
56840	58200	All right, first question.
58240	61480	How can I help my brilliant and bored son
61480	65240	who is in third grade until an alpha school opens up here?
65240	67120	Well, first of all, I have so much empathy
67120	70360	for this question because that is exactly where I was at
70360	72160	when I started getting frustrated
72160	73560	with the education system.
73560	75440	My two daughters were both really bright
75440	77560	and they were so bored.
77560	79960	And so that's really when people asked me
79960	81240	like what made you start the school?
81240	85480	I was like, I just can't watch kids sit and be bored.
85480	88240	That said, I know that not everyone's got that option
88240	90320	to go find a school that is awesome.
90320	93040	However, a couple of things I would encourage you to do
93040	95400	is look around in your town just to see
95400	98480	if there's any other schools that are popping up
98480	100680	that maybe could focus a little bit more
100680	103880	on helping kids find that passion and interest.
103880	106680	There are microschools coming up all over the country.
106680	108400	Also tell you what I did as a mom
108400	110960	was I made sure to kind of pack the time
110960	114120	when I did have my kids at home with other things.
114120	117280	So for example, we ran after school science clubs
117280	119280	where I would invite the neighborhood kids
119280	122240	and friends from my daughter's class to come over
122240	123920	and we'd do just random experiments.
123920	125400	And that was anything from like
125400	126960	we're baking blueberry muffins
126960	129480	to we're doing something we saw on the internet.
129480	132200	Sometimes I would have an expert come in
132200	134160	who was maybe another parent.
134160	136520	I remember I had a teacher show up one time
136520	139880	and the goal was just to make like fun experiments.
139880	142400	I also think so many of the life skills
142400	144120	that our kids learn are from
144120	146480	the cool extracurricular activities that we do.
146480	149440	But here's the key thing that I would just encourage
149440	151400	any parent to focus on.
151400	153360	Make sure you're connecting kids with things
153360	156160	that they truly have a passion and interest in.
156160	157520	Not just the things that like,
157520	160240	hey, everybody in our neighborhood signs up for soccer.
160240	161480	So we're doing soccer.
161480	163600	I remember my oldest daughter,
163600	165360	she did one season of soccer.
165360	167760	It was quite clear she did not like soccer.
167760	170440	And you know what, I didn't make her go do more soccer
170480	173520	just because that's what all the kids were doing.
